"ASSUMPTIONS — editable inputs driving the build-up (stage 1, locked per project instructions)",,,,
Blue = hardcoded input (editable). Yellow = key assumption. All verified against primary sources 2026-07-14; see sources tab.,,,,
,,,,
A. ARCHETYPES (locked — house rule 2),,,,
Parameter,Large industrial,Medium industrial,Notes / verification,
Annual consumption (MWh/yr),500000,20000,Locked.,
Load factor / utilisation hours (h/yr),8000,5000,"Highest-leverage assumption. Mandatory sensitivity at 6,500h (cell B_sens below).",
Implied average demand (MW),62.5,4,"Formula: consumption / hours. Large ≈62.5 MW, medium 4 MW.",
Connection — UK,Transmission / EHV,"11–33kV (HV, distribution)","132kV = distribution in England & Wales, transmission in Scotland — VERIFIED: Electricity Act 1989 s.64(1) & s.4(4), legislation.gov.uk, retr. 2026-07-14.",
Connection — DE,Höchst-/Hochspannung,Mittelspannung,Standard German voltage-level taxonomy (StromNEV).,
Connection — CN,220kV及以上,10(20)kV,"526号文 tariff classes: 不满1kV / 1-10(20)kV / 35kV / 110kV / 220kV+. RESOLVED (D10, user 2026-07-14): 10(20)kV — physically typical for ~5,000 kVA; conservative. 35kV reported as intra-country spread (Jiangsu T&D ≈ −13% at 35kV).",
,,,,
B. SITES & VERIFIED NETWORK PARAMETERS,,,,
Parameter,Value,Applies to,Source / verification (retr. 2026-07-14),
UK site,Humber,both,Locked. Real EII cluster (Immingham/Scunthorpe/Hull).,
UK TNUoS demand zone,Zone 5 — Yorkshire,both,"NESO Final TNUoS Tariffs 2025/26 v1.0, App. H p.68: zone 5/7 boundary runs south of the Humber; BOTH banks in zone 5.",
UK TNUoS locational demand tariff 2025/26 (£/kW),0,large,"Zone 5 zero-floored ('Zones 1–7 subject to the zero floor'), Table 9 p.22, Table 11 p.24. Pre-floor: Peak −0.790016, Year Round −4.258236 £/kW (Table 25 p.52).",
UK TCR band — large (transmission),T-Demand4,large,"500,000 MWh > 189,873 MWh threshold (25/26) and > 163,880 (26/27). NESO Tables sheet TB.",
UK TCR residual 2025/26 (£/site/day),12796.715359,large,"NESO Final TNUoS 2025/26, Table 10 p.23. Band has 5 sites.",
UK TCR residual 2026/27 (£/site/day),20829.236682,large,"NESO Final TNUoS 2026/27, Tables T10/TB. Thresholds re-set for RIIO-3.",
UK DNO — both Humber banks,Northern Powergrid (Yorkshire),medium,"VERIFIED: North Lincolnshire is Northern Powergrid, NOT NGED East Midlands (nationalgrid.com Grimsby-Walpole 'Need for project'; northernpowergrid.com/about-us). See decision D5. Licence-name attribution high-confidence, not document-level (qc log).",
UK DUoS statement — medium,NPg (Yorkshire) LC14 CDCM 2025-26,medium,Title verified via site index only (JS-rendered page) — flagged in qc.,
UK TCR band — medium (inferred),HV4 — £317.597969/site/day,medium,"Basis VERIFIED (Q101): LV/HV/EHV bands are allocated on AGREED CAPACITY in kVA — NESO Final TNUoS 2026/27 tables (doc 376341, S2) sheet TB. Published 2026/27 HV thresholds 500 / 1,100 / 2,000 kVA (percentiles 40/70/85); HV4 = >2,000 kVA. The archetype at ~4,000 kVA clears it twice over. estimated=Y applies to the site's agreed capacity (from implied average demand, not a real MIC), NOT to the banding rule. Prior note recorded a 1,800 kVA threshold — presumed ET2-era, unverified.",
DE site,Rhine-Ruhr,both,Locked.,
DE TSO,Amprion,large,amprion.net 'Unser Netz' — control area covers NRW/Rhine-Ruhr.,
DE transmission charges harmonised?,"Yes, since 01.01.2023",large,"StromNEV §3(3), §§14a–14d (bundeseinheitliche ÜNB-Entgelte), gesetze-im-internet.de. Joint ÜNB price sheet 2026 dated 05.12.2025, netztransparenz.de. Locational variable is therefore the DSO region, as hypothesised.",
DE DSO,Westnetz,medium,"Largest German DSO, Rhine-Ruhr footprint; exact service-area sentence not readable on rendered page (qc log).",
